fabricante;nome;vazao;intervalo_trabalho
FAN SPRAY;4.50;0.093121;0.106741
FAN SPRAY;5.00;0.120376;0.133994
FAN SPRAY;5.50;0.147631;0.163518
FAN SPRAY;6.00;0.179429;0.195313
FAN SPRAY;6.50;0.211226;0.228244
FAN SPRAY;7.00;0.245295;0.262310
FAN SPRAY;7.50;0.279363;0.297512
FAN SPRAY;8.00;0.315703;0.338392
FAN SPRAY;8.50;0.361128;0.379271
FAN SPRAY;9.00;0.397468;0.420151
FAN SPRAY;9.50;0.442893;0.466708
FAN SPRAY;10.00;0.490589;0.509859
FAN SPRAY;10.50;0.529201;0.553009
FAN SPRAY;11.00;0.576897;0.604109
FAN SPRAY;11.50;0.631407;0.659750
FAN SPRAY;12.00;0.688188;0.723341
FAN SPRAY;12.50;0.758597;0.790338
FAN SPRAY;13.00;0.822191;0.855064
FAN SPRAY;13.50;0.888058;0.922061
FAN SPRAY;14.00;0.956195;0.992464
FAN SPRAY;14.50;1.028875;1.065139
FAN SPRAY;15.00;1.101555;1.140085
FAN SPRAY;15.50;1.178777;1.220708
FAN SPRAY;16.00;1.262813;1.300196
FAN SPRAY;16.50;1.337765;1.377413
FAN SPRAY;17.00;1.417258;1.456901
FAN SPRAY;17.50;1.496752;1.538660
FAN SPRAY;18.00;1.580788;1.620420
FAN SPRAY;18.50;1.660282;1.701043
FAN SPRAY;19.00;1.742047;1.782802
FAN SPRAY;19.50;1.823811;1.865697
FAN SPRAY;20.00;1.907848;1.949727
FAN SPRAY;20.50;1.991884;2.033757
FAN SPRAY;21.00;2.075920;2.116652
FAN SPRAY;21.50;2.157685;2.200682
FAN SPRAY;22.00;2.243992;2.292661
FAN SPRAY;22.50;2.341656;2.389182
FAN SPRAY;23.00;2.437048;2.485703
FAN SPRAY;23.50;2.534712;2.582224
FAN SPRAY;24.00;2.630104;2.682152
FAN SPRAY;24.50;2.734581;2.788893
FAN SPRAY;25.00;2.843601;2.901312
FAN SPRAY;25.50;2.959435;3.017137
FAN SPRAY;26.00;3.075269;3.118200
KOMET;0.00;0.000000;0.000000
KOMET;8.00;0.084200;0.095293
KOMET;9.00;0.106400;0.118742
