fabricante;nome;vazao;intervalo_trabalho
I-WOB;19.0/19.0;3.974682373;4.018118065
I-WOB;19.0/19.5;4.062125385;4.105554858
I-WOB;19.5/19.5;4.149568398;4.192991651
I-WOB;19.5/20.0;4.23701141;4.280428443
I-WOB;20.0/20.0;4.324454422;4.367865236
I-WOB;20.0/20.5;4.411897434;4.455302029
I-WOB;20.5/20.5;4.499340446;4.542738821
I-WOB;20.5/21.0;4.586783459;4.630175614
I-WOB;21.0/21.0;4.674226471;4.724425663
I-WOB;21.0/21.5;4.775296966;4.825488969
I-WOB;21.5/21.5;4.87636746;4.926552275
I-WOB;21.5/22.0;4.977437955;5.027615581
I-WOB;22.0/22.0;5.078508449;5.128111116
I-WOB;22.0/22.5;5.178443321;5.228038879
I-WOB;22.5/22.5;5.278378192;5.327966642
I-WOB;22.5/23.0;5.378313063;5.427894405
I-WOB;23.0/23.0;5.478247934;5.559617365
I-WOB;23.0/23.5;5.641777723;5.723135523
I-WOB;23.5/23.5;5.805307512;5.886653681
I-WOB;23.5/24.0;5.968837301;6.050171839
I-WOB;24.0/24.0;6.13236709;6.188708056
I-WOB;24.0/24.5;6.245929444;6.302262332
I-WOB;24.5/24.5;6.359491797;6.415816608
I-WOB;24.5/25.0;6.473054151;6.529370884
I-WOB;25.0/25.0;6.586616504;6.586148023
FAN SPRAY;18.0/18.0;3.161575922;3.201095048
FAN SPRAY;18.0/18.5;3.241069569;3.280583041
FAN SPRAY;18.5/18.5;3.320563217;3.361206577
FAN SPRAY;18.5/19.0;3.402328111;3.442965656
FAN SPRAY;19.0/19.0;3.484093006;3.524724735
FAN SPRAY;19.0/19.5;3.565857901;3.606483814
FAN SPRAY;19.5/19.5;3.647622795;3.689378435
FAN SPRAY;19.5/20.0;3.731658937;3.7734086
FAN SPRAY;20.0/20.0;3.815695078;3.857438764
FAN SPRAY;20.0/20.5;3.89973122;3.941468929
FAN SPRAY;20.5/20.5;3.983767361;4.025499093
FAN SPRAY;20.5/21.0;4.067803503;4.109529258
FAN SPRAY;21.0/21.0;4.151839645;4.192423879
FAN SPRAY;21.0/21.5;4.233604539;4.274182958
FAN SPRAY;21.5/21.5;4.315369434;4.358213123
FAN SPRAY;21.5/22.0;4.401676822;4.444514372
FAN SPRAY;22.0/22.0;4.487984211;4.536493336
FAN SPRAY;22.0/22.5;4.585647835;4.634150014
FAN SPRAY;22.5/22.5;4.683311459;4.730671149
FAN SPRAY;22.5/23.0;4.778703836;4.826056741
FAN SPRAY;23.0/23.0;4.874096213;4.922577876
FAN SPRAY;23.0/23.5;4.971759837;5.020234553
FAN SPRAY;23.5/23.5;5.069423461;5.116755688
FAN SPRAY;23.5/24.0;5.164815838;5.21214128
FAN SPRAY;24.0/24.0;5.260208215;5.312069043
FAN SPRAY;24.0/24.5;5.36468558;5.416538977
FAN SPRAY;24.5/24.5;5.469162946;5.523279997
FAN SPRAY;24.5/25.0;5.578182805;5.632292102
FAN SPRAY;25.0/25.0;5.687202664;5.744710836
FAN SPRAY;25.0/25.5;5.803036265;5.860536197
FAN SPRAY;25.5/25.5;5.918869865;5.976361559
FAN SPRAY;25.5/26.0;6.034703466;6.092186921
FAN SPRAY;26.0/26.0;6.150537067;6.150099602
KOMET;37/37;3.421;3.467853327
KOMET;37/38;3.5152;3.562046627
KOMET;38/38;3.6094;3.657489838
KOMET;38/39;3.7061;3.75418296
KOMET;39/39;3.8028;3.852125993
KOMET;39/40;3.902;3.951318937
KOMET;40/40;4.0012;4.051811789
KOMET;40/41;4.103;4.153604549
KOMET;41/41;4.2048;4.256597223
KOMET;41/42;4.309;4.360789811
KOMET;42/42;4.4132;4.466282307
KOMET;42/43;4.52;4.573074711
KOMET;43/43;4.6268;4.681067029
KOMET;43/44;4.736;4.790259262
KOMET;44/44;4.8452;4.900701407
KOMET;44/45;4.9569;5.012393462
KOMET;45/45;5.0686;5.125385424
KOMET;45/46;5.1829;5.239677295
KOMET;46/46;5.2972;5.35516908
